id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,fee_float
57,9868188640707215440437863615521278132288,2023-04-26 09:35:41.55122,17127577,bancor_v3 BNT-FF1C/GRT-44a7 0.000,BNT-FF1C/GRT-44a7,bancor_v3,0.000,534049835376440464187073,1838175820164013678336243,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,nan,0.0
58,9868188640707215440437863615521278132289,2023-04-26 02:57:33.328277,17127577,bancor_v3 BNT-FF1C/LINK-86CA 0.000,BNT-FF1C/LINK-86CA,bancor_v3,0.000,14588677844451763532048826,974422480157541290096255,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x514910771AF9Ca656af840dff83E8264EcF986CA,nan,0.0
59,9868188640707215440437863615521278132290,2023-04-26 02:57:34.494195,17127577,bancor_v3 BNT-FF1C/MANA-C942 0.000,BNT-FF1C/MANA-C942,bancor_v3,0.000,272627890197305193802148,239785745357443313060085,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,nan,0.0
60,9868188640707215440437863615521278132291,2023-04-26 02:57:34.899418,17127577,bancor_v3 BNT-FF1C/MATIC-eBB0 0.000,BNT-FF1C/MATIC-eBB0,bancor_v3,0.000,412995348321569784949467,198693832237882447556476,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,nan,0.0
61,9868188640707215440437863615521278132292,2023-04-26 02:57:35.238405,17127577,bancor_v3 BNT-FF1C/MKR-79A2 0.000,BNT-FF1C/MKR-79A2,bancor_v3,0.000,61797616036672743786939,41951398883835787473,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,nan,0.0
62,9868188640707215440437863615521278132293,2023-04-26 02:57:36.572796,17127577,bancor_v3 BNT-FF1C/OCEAN-9F48 0.000,BNT-FF1C/OCEAN-9F48,bancor_v3,0.000,134227436397265179512872,173052936621919948949679,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,nan,0.0
63,9868188640707215440437863615521278132294,2023-04-26 02:57:37.633719,17127577,bancor_v3 BNT-FF1C/QNT-4675 0.000,BNT-FF1C/QNT-4675,bancor_v3,0.000,130015205485629390312883,557507901889090470073,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x4a220E6096B25EADb88358cb44068A3248254675,nan,0.0
64,9868188640707215440437863615521278132295,2023-04-26 12:50:04.93344,17127577,bancor_v3 BNT-FF1C/RPL-A51f 0.000,BNT-FF1C/RPL-A51f,bancor_v3,0.000,138302610409556598957386,1412306423820649167336,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,nan,0.0
65,9868188640707215440437863615521278132296,2023-04-26 02:57:39.205085,17127578,bancor_v3 BNT-FF1C/SNX-2a6F 0.000,BNT-FF1C/SNX-2a6F,bancor_v3,0.000,1746288979523570533861798,341503956952108393952208,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,nan,0.0
66,9868188640707215440437863615521278132297,2023-04-26 02:57:40.474732,17127578,bancor_v3 BNT-FF1C/TRAC-0A6F 0.000,BNT-FF1C/TRAC-0A6F,bancor_v3,0.000,91708200610422980193582,116814397702045017058155,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0xaA7a9CA87d3694B5755f213B5D04094b8d0F0A6F,nan,0.0
