id,name,tkn0_address,tkn1_address,tkn0_key,tkn1_key
113,WETH-6Cc2/BDOG-15B5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdfd1E167753b1413B0355D6770C7732Dadd915B5,WETH-6Cc2,BDOG-15B5
114,ADOGE-DEc5/WETH-6Cc2,0x1492E7db29f5A79F47ea73Ed6081F57bc553DEc5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ADOGE-DEc5,WETH-6Cc2
115,RCK-53CC/WETH-6Cc2,0x8614b0e8CEdC82D5aeF4724Aed49939f67E153CC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,RCK-53CC,WETH-6Cc2
116,TOS-8153/WTON-bff2,0x409c4D8cd5d2924b9bc5509230d16a61289c8153,0xc4A11aaf6ea915Ed7Ac194161d2fC9384F15bff2,TOS-8153,WTON-bff2
117,KNX-9F6B/KNX-7DA0,0x44F9b7859291dd247A07E4088B04325B206F9F6B,0xe93a27d4ED64F44a2B356d78C06115e5C9D97DA0,KNX-9F6B,KNX-7DA0
118,ELON-60F3/carbon-3286,0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,0xE64B18eA9F6Cef68888Ce13274B94f34597D3286,ELON-60F3,carbon-3286
119,DIM-44Ac/WETH-6Cc2,0xBA5bB1707a93c6DEB94F5D3577839D38317344Ac,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DIM-44Ac,WETH-6Cc2
120,STFMG-1e39/STARS-b7f5,0x0Bfda9a1914dD56313DA138143e871c2b7A01e39,0x0D9CBb4dA636a180CD872cc2459abF7Afa34b7f5,STFMG-1e39,STARS-b7f5
121,ELONINDEX-23D0/ELON-60F3,0x1b17016a9012F35b79F0835F513ebE0a6A8623D0,0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,ELONINDEX-23D0,ELON-60F3
122,PROS-008A/BTT-7957,0xbe1936A67f503e0eaF2434b0cf9f4e3d7100008A,0xC669928185DbCE49d2230CC9B0979BE6DC797957,PROS-008A,BTT-7957
123,FAMILY-4798/DAI-1d0F,0x479378950a2E71BD05435CdF52257477b8034798,0x6B175474E89094C44Da98b954EedeAC495271d0F,FAMILY-4798,DAI-1d0F
124,KOCHI-f735/WETH-6Cc2,0x5F183834B61bf4D0cE28033871bFA408ff97f735,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,KOCHI-f735,WETH-6Cc2
125,DAI-1d0F/FRAX-b99e,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x853d955aCEf822Db058eb8505911ED77F175b99e,DAI-1d0F,FRAX-b99e
